"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"GAA23WA050","ACC","106529","2022-12-31T20:00:00Z","Galvarino","Other Foreign","Chile",,"EC-LHJ","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=106529"
"DCA23LA109","ACC","106517","2022-12-31T16:39:00Z","Montgomery","Alabama","United States",,"N264NN","false","Aviation","DirectorBrief",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106517"
"GAA23WA048","ACC","106523","2022-12-31T14:00:00Z","Prijedori",,"Bosnia And Herzegovina",,"E-PDH","false","Aviation","None",,"Fatal","2","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106523"
"ERA23LA100","ACC","106533","2022-12-30T16:00:00Z","Dublin","Virginia","United States",,"N121","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106533"
"ENG23WA013","ACC","106606","2022-12-30T05:00:00Z","Venado","Other Foreign","Mexico",,"XB-SGV","false","Aviation","None",,"Fatal","2","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106606"
"GAA23WA047","INC","106521","2022-12-29T19:15:00Z","Rionegro",,"Colombia",,"N156VP","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106521"
"ERA23LA097","ACC","106513","2022-12-29T14:27:00Z","Athens","Georgia","United States",,"N9026P","false","Aviation","DirectorBrief",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=106513"
"CEN23FA071","ACC","106511","2022-12-29T05:00:00Z","Galliano","Louisiana","United States",,"N595RL","false","Aviation","DirectorBrief",,"Fatal","4","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106511"
"ERA23LA098","ACC","106514","2022-12-28T17:30:00Z","Ethel","West Virginia","United States",,"N8217M","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=106514"
"GAA23WA084","ACC","106811","2022-12-28T11:40:00Z","Saint-Pons",,"France",,"N229GC","false","Aviation","None",,"Fatal","1","3","0",,,"https://data.ntsb.gov/Docket?ProjectID=106811"
