"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"ERA23FA235","ACC","180442","2023-05-18T12:24:00Z","Summerville","South Carolina","United States",,"N255HJ","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=180442"
"DCA23LA290","ACC","180444","2023-05-15T18:36:00Z","Sierra Vista","Arizona","United States",,"CBP-104","false","Aviation","DirectorBrief",,,"0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=180444"
"ENG23WA028","ACC","174546","2023-05-15T10:47:00Z","Hohn",,"Germany",,"D-CGFQ","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174546"
"WPR23LA191","ACC","174533","2023-05-15T10:00:00Z","Spanish Fork","Utah","United States",,"N227WM","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=174533"
"DCA23WA289","INC","180443","2023-05-14T17:01:00Z","Luxembourg","Other Foreign","Luxembourg",,"LX-OCV","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=180443"
"WPR23FA188","ACC","171570","2023-05-14T12:00:00Z","Albany","Wyoming","United States",,"N665B","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=171570"
"CEN23FA187","ACC","174543","2023-05-14T10:30:00Z","Chambers","Nebraska","United States",,"N2946U","false","Aviation","DirectorBrief",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=174543"
"WPR23LA189","ACC","174531","2023-05-13T17:30:00Z","Twisp","Washington","United States",,"N185MG","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=174531"
"CEN23LA184","ACC","174534","2023-05-13T15:42:00Z","Gardner","Kansas","United States",,"N8932L","false","Aviation","DirectorBrief",,"Serious","0","1","1",,,"https://data.ntsb.gov/Docket?ProjectID=174534"
"GAA23WA149","ACC","174536","2023-05-13T12:30:00Z","Konakovo",,"Russia",,"RA-07372","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=174536"
"WPR23LA190","ACC","174532","2023-05-12T10:45:00Z","Elko","Nevada","United States",,"N12HD","false","Aviation","DirectorBrief",,,"0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=174532"
"ERA23LA230","ACC","149069","2023-05-11T19:18:00Z","Wildwood","New Jersey","United States",,"N4264T","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=149069"
"ERA23LA232","ACC","174541","2023-05-11T19:15:00Z","Selma","Alabama","United States",,"N1347T","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174541"
"CEN23LA181","ACC","174523","2023-05-11T11:06:00Z","Wisconsin Rapids","Wisconsin","United States",,"N2485F","false","Aviation","DirectorBrief",,"Serious","0","2","0",,,"https://data.ntsb.gov/Docket?ProjectID=174523"
"DCA23LA281","ACC","174520","2023-05-11T04:00:00Z","New Orleans","Louisiana","United States",,"N88331","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174520"
"CEN23LA185","ACC","174535","2023-05-09T12:59:00Z","Midland","Texas","United States",,"N433CF","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=174535"
"ANC23LA032","ACC","139291","2023-05-09T12:00:00Z","Skwentna","Alaska","United States",,"N704T","false","Aviation","DirectorBrief",,"Minor","0","0","2",,,"https://data.ntsb.gov/Docket?ProjectID=139291"
"ERA23LA226","ACC","139288","2023-05-09T11:00:00Z","Frenchville","Maine","United States",,"N1885B","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=139288"
"DCA23WA283","INC","174522","2023-05-08T08:44:00Z","London",,"United Kingdom",,"G-VIIK","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174522"
"ERA23LA222","ACC","114705","2023-05-07T21:35:00Z","Hernando","Florida","United States",,"N150VL","false","Aviation","DirectorBrief",,"Serious","0","2","0",,,"https://data.ntsb.gov/Docket?ProjectID=114705"
"WPR23LA180","ACC","114707","2023-05-07T19:45:00Z","Ariel","Washington","United States",,"N6058D","false","Aviation","DirectorBrief",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=114707"
"ERA23FA219","ACC","114699","2023-05-07T18:48:00Z","Reliance","Tennessee","United States",,"N725AS","false","Aviation","DirectorBrief",,"Fatal","1","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=114699"
"DCA23WA274","INC","122572","2023-05-07T15:05:00Z","Abuja",,"Nigeria",,"5N-MBD","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=122572"
