,Año,Total de Fallecidos,Numero de personas con lesiones menores,Personas Fallecidas en Tierra,Resumen del Incidente
0,2022,0,0,0.0,Sin Datos
1,2022,1,0,0.0,Sin Datos
2,2022,2,0,0.0,Sin Datos
3,2022,0,0,0.0,Sin Datos
4,2022,2,0,0.0,Sin Datos
5,2022,0,0,0.0,Sin Datos
6,2022,0,1,0.0,Sin Datos
7,2022,4,0,0.0,Sin Datos
8,2022,0,0,0.0,Sin Datos
9,2022,1,0,0.0,Sin Datos
10,2022,0,0,0.0,Sin Datos
11,2022,0,0,0.0,Sin Datos
12,2022,0,1,0.0,Sin Datos
13,2022,1,0,0.0,Sin Datos
14,2022,0,0,0.0,Sin Datos
15,2022,0,1,0.0,Sin Datos
16,2022,0,0,0.0,Sin Datos
17,2022,0,0,0.0,Sin Datos
18,2022,2,0,0.0,Sin Datos
19,2022,0,0,0.0,Sin Datos
20,2022,0,0,0.0,Sin Datos
21,2022,0,0,0.0,Sin Datos
22,2022,0,0,0.0,Sin Datos
23,2022,0,1,0.0,Sin Datos
24,2022,0,0,0.0,Sin Datos
25,2022,0,0,0.0,Sin Datos
26,2022,2,0,0.0,Sin Datos
27,2022,0,0,0.0,Sin Datos
28,2022,0,0,0.0,Sin Datos
29,2022,1,0,0.0,Sin Datos
30,2022,1,1,0.0,Sin Datos
31,2022,0,0,0.0,Sin Datos
32,2022,0,1,0.0,Sin Datos
33,2022,0,0,0.0,Sin Datos
34,2022,0,0,0.0,Sin Datos
35,2022,0,0,0.0,Sin Datos
36,2022,0,0,0.0,Sin Datos
37,2022,0,1,0.0,Sin Datos
38,2022,0,2,0.0,Sin Datos
39,2022,0,0,0.0,Sin Datos
40,2022,0,19,0.0,Sin Datos
41,2022,0,0,0.0,Sin Datos
42,2022,0,0,0.0,Sin Datos
43,2022,0,1,0.0,Sin Datos
44,2022,0,0,0.0,Sin Datos
45,2022,0,1,0.0,Sin Datos
46,2022,0,0,0.0,Sin Datos
47,2022,0,0,0.0,Sin Datos
48,2022,0,0,0.0,Sin Datos
49,2022,0,3,0.0,Sin Datos
50,2022,0,1,0.0,Sin Datos
51,2022,3,0,0.0,Sin Datos
52,2022,1,0,0.0,Sin Datos
53,2022,0,0,0.0,Sin Datos
54,2022,0,0,0.0,Sin Datos
55,2022,0,0,0.0,Sin Datos
56,2022,0,0,0.0,Sin Datos
57,2022,1,0,0.0,Sin Datos
58,2022,0,0,0.0,Sin Datos
59,2022,0,0,0.0,Sin Datos
60,2022,0,0,0.0,Sin Datos
61,2022,1,0,0.0,Sin Datos
62,2022,0,0,0.0,Sin Datos
63,2022,0,0,0.0,Sin Datos
64,2022,0,0,0.0,Sin Datos
65,2022,0,0,0.0,Sin Datos
66,2022,0,1,0.0,Sin Datos
67,2022,0,0,0.0,Sin Datos
68,2022,0,0,0.0,Sin Datos
69,2022,0,0,0.0,Sin Datos
70,2022,0,2,0.0,Sin Datos
71,2022,0,0,0.0,Sin Datos
72,2022,0,3,0.0,Sin Datos
73,2022,0,1,0.0,Sin Datos
74,2022,0,0,0.0,Sin Datos
75,2022,0,0,0.0,Sin Datos
76,2022,3,0,0.0,Sin Datos
77,2022,0,2,0.0,Sin Datos
78,2022,0,1,0.0,Sin Datos
79,2022,0,0,0.0,Sin Datos
80,2022,1,0,0.0,Sin Datos
81,2022,0,0,0.0,Sin Datos
82,2022,0,0,0.0,Sin Datos
83,2022,2,0,0.0,Sin Datos
84,2022,1,0,0.0,Sin Datos
85,2022,0,0,0.0,Sin Datos
86,2022,3,0,0.0,Sin Datos
87,2022,0,3,0.0,Sin Datos
88,2022,0,0,0.0,Sin Datos
89,2022,0,0,0.0,Sin Datos
90,2022,0,0,0.0,Sin Datos
91,2022,0,0,0.0,Sin Datos
92,2022,1,0,0.0,Sin Datos
93,2022,0,0,0.0,Sin Datos
94,2022,0,0,0.0,Sin Datos
95,2022,0,0,0.0,Sin Datos
96,2022,0,0,0.0,Sin Datos
97,2022,2,0,0.0,Sin Datos
98,2022,0,0,0.0,Sin Datos
99,2022,0,2,0.0,Sin Datos
100,2022,1,0,0.0,Sin Datos
101,2022,2,0,0.0,Sin Datos
102,2022,0,0,0.0,Sin Datos
103,2022,0,1,0.0,Sin Datos
104,2022,0,0,0.0,Sin Datos
105,2022,0,0,0.0,Sin Datos
106,2022,0,0,0.0,Sin Datos
107,2022,0,0,0.0,Sin Datos
108,2022,0,0,0.0,Sin Datos
109,2022,0,2,0.0,Sin Datos
110,2022,0,0,0.0,Sin Datos
111,2022,0,0,0.0,Sin Datos
112,2022,0,0,0.0,Sin Datos
113,2022,1,0,0.0,Sin Datos
114,2022,0,0,0.0,Sin Datos
115,2022,0,0,0.0,Sin Datos
116,2022,0,0,0.0,Sin Datos
117,2022,0,0,0.0,Sin Datos
118,2022,0,0,0.0,Sin Datos
119,2022,1,0,0.0,Sin Datos
120,2022,0,0,0.0,Sin Datos
121,2022,0,1,0.0,Sin Datos
122,2022,0,0,0.0,Sin Datos
123,2022,2,0,0.0,Sin Datos
124,2022,0,0,0.0,Sin Datos
125,2022,0,0,0.0,Sin Datos
126,2022,0,0,0.0,Sin Datos
127,2022,0,1,0.0,Sin Datos
128,2022,8,0,0.0,Sin Datos
129,2022,0,0,0.0,Sin Datos
130,2022,0,0,0.0,Sin Datos
131,2022,0,0,0.0,Sin Datos
132,2022,0,2,0.0,Sin Datos
133,2022,0,0,0.0,Sin Datos
134,2022,0,0,0.0,Sin Datos
135,2022,0,0,0.0,Sin Datos
136,2022,0,0,0.0,Sin Datos
137,2022,0,0,0.0,Sin Datos
138,2022,2,0,0.0,Sin Datos
139,2022,1,0,0.0,Sin Datos
140,2022,0,0,0.0,Sin Datos
141,2022,2,0,0.0,Sin Datos
142,2022,1,0,0.0,Sin Datos
143,2022,0,0,0.0,Sin Datos
144,2022,0,0,0.0,Sin Datos
145,2022,0,0,0.0,Sin Datos
146,2022,4,0,0.0,Sin Datos
147,2022,0,0,0.0,Sin Datos
148,2022,0,0,0.0,Sin Datos
149,2022,0,0,0.0,Sin Datos
150,2022,1,0,0.0,Sin Datos
151,2022,0,2,0.0,Sin Datos
152,2022,0,0,0.0,Sin Datos
153,2022,0,0,0.0,Sin Datos
154,2022,0,0,0.0,Sin Datos
155,2022,1,0,0.0,Sin Datos
156,2022,0,0,0.0,Sin Datos
157,2022,0,0,0.0,Sin Datos
158,2022,0,0,0.0,Sin Datos
159,2022,1,0,0.0,Sin Datos
160,2022,0,0,0.0,Sin Datos
161,2022,0,0,0.0,Sin Datos
162,2022,0,0,0.0,Sin Datos
163,2022,0,0,0.0,Sin Datos
164,2022,0,0,0.0,Sin Datos
165,2022,0,0,0.0,Sin Datos
166,2022,6,0,0.0,Sin Datos
167,2022,0,1,0.0,Sin Datos
168,2022,0,0,0.0,Sin Datos
169,2022,0,0,0.0,Sin Datos
170,2022,0,0,0.0,Sin Datos
171,2022,0,1,0.0,Sin Datos
172,2022,0,0,0.0,Sin Datos
173,2022,1,0,0.0,Sin Datos
174,2022,0,0,0.0,Sin Datos
175,2022,0,0,0.0,Sin Datos
176,2022,0,0,0.0,Sin Datos
177,2022,0,0,0.0,Sin Datos
178,2022,2,0,0.0,Sin Datos
179,2022,0,0,0.0,Sin Datos
180,2022,0,0,0.0,Sin Datos
181,2022,0,0,0.0,Sin Datos
182,2022,0,0,0.0,Sin Datos
183,2022,0,0,0.0,Sin Datos
184,2022,0,2,0.0,Sin Datos
185,2022,1,0,0.0,Sin Datos
186,2022,0,0,0.0,Sin Datos
187,2022,0,0,0.0,Sin Datos
188,2022,2,0,0.0,Sin Datos
189,2022,0,0,0.0,Sin Datos
190,2022,0,0,0.0,Sin Datos
191,2022,0,0,0.0,Sin Datos
192,2022,0,0,0.0,Sin Datos
193,2022,0,0,0.0,Sin Datos
194,2022,0,0,0.0,Sin Datos
195,2022,2,0,0.0,Sin Datos
196,2022,1,0,0.0,Sin Datos
197,2022,1,0,0.0,Sin Datos
198,2022,0,0,0.0,Sin Datos
199,2022,0,2,0.0,Sin Datos
200,2022,0,0,0.0,Sin Datos
201,2022,0,0,0.0,Sin Datos
202,2022,0,0,0.0,Sin Datos
203,2022,0,1,0.0,Sin Datos
204,2022,0,0,0.0,Sin Datos
205,2022,0,0,0.0,Sin Datos
206,2022,2,0,0.0,Sin Datos
207,2022,2,0,0.0,Sin Datos
208,2022,0,0,0.0,Sin Datos
209,2022,0,0,0.0,Sin Datos
210,2022,0,0,0.0,Sin Datos
211,2022,2,0,0.0,Sin Datos
212,2022,0,1,0.0,Sin Datos
213,2022,0,0,0.0,Sin Datos
214,2022,0,0,0.0,Sin Datos
215,2022,0,1,0.0,Sin Datos
216,2022,1,0,0.0,Sin Datos
217,2022,0,1,0.0,Sin Datos
218,2022,0,0,0.0,Sin Datos
219,2022,0,0,0.0,Sin Datos
220,2022,0,0,0.0,Sin Datos
221,2022,0,0,0.0,Sin Datos
222,2022,0,0,0.0,Sin Datos
223,2022,0,0,0.0,Sin Datos
224,2022,0,0,0.0,Sin Datos
225,2022,1,0,0.0,Sin Datos
226,2022,0,0,0.0,Sin Datos
227,2022,0,0,0.0,Sin Datos
228,2022,0,0,0.0,Sin Datos
229,2022,0,0,0.0,Sin Datos
230,2022,0,0,0.0,Sin Datos
231,2022,0,0,0.0,Sin Datos
232,2022,1,0,0.0,Sin Datos
233,2022,0,0,0.0,Sin Datos
234,2022,0,0,0.0,Sin Datos
235,2022,0,0,0.0,Sin Datos
236,2022,0,0,0.0,Sin Datos
237,2022,0,0,0.0,Sin Datos
238,2022,0,0,0.0,Sin Datos
239,2022,0,1,0.0,Sin Datos
240,2022,0,0,0.0,Sin Datos
241,2022,1,0,0.0,Sin Datos
242,2022,0,0,0.0,Sin Datos
243,2022,0,0,0.0,Sin Datos
244,2022,0,0,0.0,Sin Datos
245,2022,0,0,0.0,Sin Datos
246,2022,0,0,0.0,Sin Datos
247,2022,0,0,0.0,Sin Datos
248,2022,2,0,0.0,Sin Datos
249,2022,0,1,0.0,Sin Datos
250,2022,1,0,0.0,Sin Datos
251,2022,0,0,0.0,Sin Datos
252,2022,0,0,0.0,Sin Datos
253,2022,0,0,0.0,Sin Datos
254,2022,0,0,0.0,Sin Datos
255,2022,0,0,0.0,Sin Datos
256,2022,0,0,0.0,Sin Datos
257,2022,1,0,0.0,Sin Datos
258,2022,0,0,0.0,Sin Datos
259,2022,2,0,0.0,Sin Datos
260,2022,7,0,0.0,Sin Datos
261,2022,0,0,0.0,Sin Datos
262,2022,0,1,0.0,Sin Datos
263,2022,1,0,0.0,Sin Datos
264,2022,2,0,0.0,Sin Datos
265,2022,0,0,0.0,Sin Datos
266,2022,2,0,0.0,Sin Datos
267,2022,0,0,0.0,Sin Datos
268,2022,1,0,0.0,Sin Datos
269,2022,1,5,0.0,Sin Datos
270,2022,1,0,0.0,Sin Datos
271,2022,0,0,0.0,Sin Datos
272,2022,0,0,0.0,Sin Datos
273,2022,0,0,0.0,Sin Datos
274,2022,0,0,0.0,Sin Datos
275,2022,0,0,0.0,Sin Datos
276,2022,0,0,0.0,Sin Datos
277,2022,0,0,0.0,Sin Datos
278,2022,0,0,0.0,Sin Datos
279,2022,0,0,0.0,Sin Datos
280,2022,0,0,0.0,Sin Datos
281,2022,0,0,0.0,Sin Datos
282,2022,0,0,0.0,Sin Datos
283,2022,0,1,0.0,Sin Datos
284,2022,0,0,0.0,Sin Datos
285,2022,0,0,0.0,Sin Datos
286,2022,0,0,0.0,Sin Datos
287,2022,0,0,0.0,Sin Datos
288,2022,0,0,0.0,Sin Datos
289,2022,0,0,0.0,Sin Datos
290,2022,0,0,0.0,Sin Datos
291,2022,0,0,0.0,Sin Datos
292,2022,0,0,0.0,Sin Datos
293,2022,1,0,0.0,Sin Datos
294,2022,0,1,0.0,Sin Datos
295,2022,0,0,0.0,Sin Datos
296,2022,0,0,0.0,Sin Datos
297,2022,0,0,0.0,Sin Datos
298,2022,0,1,0.0,Sin Datos
299,2022,0,0,0.0,Sin Datos
300,2022,0,1,0.0,Sin Datos
301,2022,0,1,0.0,Sin Datos
302,2022,0,0,0.0,Sin Datos
303,2022,0,2,0.0,Sin Datos
304,2022,0,0,0.0,Sin Datos
305,2022,0,0,0.0,Sin Datos
306,2022,0,0,0.0,Sin Datos
307,2022,0,1,0.0,Sin Datos
308,2022,0,0,0.0,Sin Datos
309,2022,0,0,0.0,Sin Datos
310,2022,0,0,0.0,Sin Datos
311,2022,0,0,0.0,Sin Datos
312,2022,0,0,0.0,Sin Datos
313,2022,0,1,0.0,Sin Datos
314,2022,1,0,0.0,Sin Datos
315,2022,0,0,0.0,Sin Datos
316,2022,1,0,0.0,Sin Datos
317,2022,0,0,0.0,Sin Datos
318,2022,1,0,0.0,Sin Datos
319,2022,0,0,0.0,Sin Datos
320,2022,1,0,0.0,Sin Datos
321,2022,2,0,0.0,Sin Datos
322,2022,0,1,0.0,Sin Datos
323,2022,0,0,0.0,Sin Datos
324,2022,0,0,0.0,Sin Datos
325,2022,1,0,0.0,Sin Datos
326,2022,0,0,0.0,Sin Datos
327,2022,0,0,0.0,Sin Datos
328,2022,0,0,0.0,Sin Datos
329,2022,0,0,0.0,Sin Datos
330,2022,0,0,0.0,Sin Datos
331,2022,0,1,0.0,Sin Datos
332,2022,1,0,0.0,Sin Datos
333,2022,0,0,0.0,Sin Datos
334,2022,0,0,0.0,Sin Datos
335,2022,0,1,0.0,Sin Datos
336,2022,0,2,0.0,Sin Datos
337,2022,0,0,0.0,Sin Datos
338,2022,0,0,0.0,Sin Datos
339,2022,0,0,0.0,Sin Datos
340,2022,1,0,0.0,Sin Datos
341,2022,0,0,0.0,Sin Datos
342,2022,1,0,0.0,Sin Datos
343,2022,2,0,0.0,Sin Datos
344,2022,3,0,0.0,Sin Datos
345,2022,3,0,0.0,Sin Datos
346,2022,0,0,0.0,Sin Datos
347,2022,0,0,0.0,Sin Datos
348,2022,0,0,0.0,Sin Datos
349,2022,0,0,0.0,Sin Datos
350,2022,0,0,0.0,Sin Datos
351,2022,0,0,0.0,Sin Datos
352,2022,0,0,0.0,Sin Datos
353,2022,0,1,0.0,Sin Datos
354,2022,3,0,0.0,Sin Datos
355,2022,0,0,0.0,Sin Datos
356,2022,2,0,0.0,Sin Datos
357,2022,0,0,0.0,Sin Datos
358,2022,0,0,0.0,Sin Datos
359,2022,0,0,0.0,Sin Datos
360,2022,0,1,0.0,Sin Datos
361,2022,0,0,0.0,Sin Datos
362,2022,0,0,0.0,Sin Datos
363,2022,0,2,0.0,Sin Datos
364,2022,1,0,0.0,Sin Datos
365,2022,1,0,0.0,Sin Datos
366,2022,0,0,0.0,Sin Datos
367,2022,0,0,0.0,Sin Datos
368,2022,0,0,0.0,Sin Datos
369,2022,1,0,0.0,Sin Datos
370,2022,0,0,0.0,Sin Datos
371,2022,0,0,0.0,Sin Datos
372,2022,0,0,0.0,Sin Datos
373,2022,0,0,0.0,Sin Datos
374,2022,0,0,0.0,Sin Datos
375,2022,0,0,0.0,Sin Datos
376,2022,0,2,0.0,Sin Datos
377,2022,0,0,0.0,Sin Datos
378,2022,0,0,0.0,Sin Datos
379,2022,0,0,0.0,Sin Datos
380,2022,0,1,0.0,Sin Datos
381,2022,1,0,0.0,Sin Datos
382,2022,0,1,0.0,Sin Datos
383,2022,1,0,0.0,Sin Datos
384,2022,0,0,0.0,Sin Datos
385,2022,0,0,0.0,Sin Datos
386,2022,0,1,0.0,Sin Datos
387,2022,0,3,0.0,Sin Datos
388,2022,2,0,0.0,Sin Datos
389,2022,0,0,0.0,Sin Datos
390,2022,0,0,0.0,Sin Datos
391,2022,0,1,0.0,Sin Datos
392,2022,0,0,0.0,Sin Datos
393,2022,1,0,0.0,Sin Datos
394,2022,0,0,0.0,Sin Datos
395,2022,0,0,0.0,Sin Datos
396,2022,0,0,0.0,Sin Datos
397,2022,1,0,0.0,Sin Datos
398,2022,0,0,0.0,Sin Datos
399,2022,1,1,0.0,Sin Datos
400,2022,1,0,0.0,Sin Datos
401,2022,0,0,0.0,Sin Datos
402,2022,0,0,0.0,Sin Datos
403,2022,1,0,0.0,Sin Datos
404,2022,0,0,0.0,Sin Datos
405,2022,2,0,0.0,Sin Datos
406,2022,0,0,0.0,Sin Datos
407,2022,0,0,0.0,Sin Datos
408,2022,0,0,0.0,Sin Datos
409,2022,1,0,0.0,Sin Datos
410,2022,0,2,0.0,Sin Datos
411,2022,1,0,0.0,Sin Datos
412,2022,2,0,0.0,Sin Datos
413,2022,0,0,0.0,Sin Datos
414,2022,0,0,0.0,Sin Datos
415,2022,2,0,0.0,Sin Datos
416,2022,0,0,0.0,Sin Datos
417,2022,2,0,0.0,Sin Datos
418,2022,0,1,0.0,Sin Datos
419,2022,3,0,0.0,Sin Datos
420,2022,0,1,0.0,Sin Datos
421,2022,2,0,0.0,Sin Datos
422,2022,0,1,0.0,Sin Datos
423,2022,0,0,0.0,Sin Datos
424,2022,0,0,0.0,Sin Datos
425,2022,0,0,0.0,Sin Datos
426,2022,0,1,0.0,Sin Datos
427,2022,1,0,0.0,Sin Datos
428,2022,0,0,0.0,Sin Datos
429,2022,0,0,0.0,Sin Datos
430,2022,2,0,0.0,Sin Datos
431,2022,0,0,0.0,Sin Datos
432,2022,2,0,0.0,Sin Datos
433,2022,0,0,0.0,Sin Datos
434,2022,0,0,0.0,Sin Datos
435,2022,0,0,0.0,Sin Datos
436,2022,0,0,0.0,Sin Datos
437,2022,2,0,0.0,Sin Datos
438,2022,1,0,0.0,Sin Datos
439,2022,1,0,0.0,Sin Datos
440,2022,0,0,0.0,Sin Datos
441,2022,0,2,0.0,Sin Datos
